iter	Passed	Remaining
0	140	140401
1	153	76843
2	165	55156
3	179	44620
4	192	38269
5	208	34500
6	253	36020
7	297	36830
8	323	35656
9	340	33720
10	353	31799
11	364	30013
12	377	28629
13	390	27481
14	404	26579
15	421	25952
16	434	25111
17	447	24430
18	461	23839
19	476	23327
20	489	22824
21	503	22402
22	518	22023
23	533	21696
24	547	21343
25	563	21097
26	575	20724
27	590	20500
28	605	20288
29	622	20126
30	639	19987
31	654	19796
32	670	19644
33	686	19517
34	702	19372
35	718	19253
36	732	19074
37	745	18883
38	759	18721
39	770	18493
40	784	18355
41	797	18199
42	810	18030
43	820	17828
44	832	17675
45	846	17550
46	859	17421
47	869	17251
48	888	17246
49	898	17071
50	911	16962
51	925	16864
52	939	16786
53	955	16733
54	968	16635
55	984	16588
56	1000	16557
57	1015	16490
58	1059	16902
59	1088	17060
60	1110	17089
61	1129	17093
62	1154	17173
63	1172	17145
64	1193	17161
65	1215	17203
66	1235	17210
67	1253	17183
68	1275	17204
69	1298	17254
70	1318	17254
71	1338	17245
72	1356	17231
73	1374	17205
74	1391	17166
75	1409	17141
76	1428	17121
77	1444	17072
78	1458	17000
79	1474	16958
80	1492	16938
81	1506	16865
82	1522	16824
83	1538	16777
84	1552	16715
85	1567	16659
86	1581	16600
87	1595	16533
88	1610	16489
89	1624	16424
90	1634	16331
91	1646	16249
92	1658	16172
93	1668	16079
94	1681	16015
95	1692	15936
96	1703	15858
97	1714	15780
98	1729	15743
99	1744	15703
100	1759	15662
101	1773	15614
102	1785	15550
103	1798	15498
104	1812	15450
105	1827	15411
106	1842	15373
107	1858	15352
108	1873	15317
109	1888	15279
110	1906	15269
111	1921	15231
112	1936	15200
113	1951	15169
114	1963	15109
115	1976	15065
116	1991	15026
117	2004	14980
118	2016	14927
119	2026	14863
120	2037	14803
121	2047	14736
122	2057	14673
123	2069	14619
124	2078	14551
125	2089	14494
126	2101	14447
127	2113	14400
128	2123	14339
129	2135	14294
130	2147	14247
131	2160	14204
132	2172	14160
133	2184	14116
134	2195	14067
135	2206	14015
136	2219	13979
137	2230	13930
138	2243	13896
139	2253	13843
140	2264	13798
141	2274	13744
142	2286	13704
143	2299	13669
144	2312	13638
145	2323	13588
146	2334	13543
147	2346	13506
148	2357	13465
149	2369	13429
150	2382	13394
151	2393	13355
152	2403	13305
153	2415	13268
154	2426	13228
155	2436	13184
156	2447	13140
157	2458	13101
158	2469	13064
159	2482	13032
160	2494	13001
161	2506	12964
162	2517	12928
163	2528	12887
164	2539	12850
165	2550	12815
166	2562	12780
167	2577	12763
168	2591	12744
169	2604	12714
170	2614	12674
171	2628	12654
172	2641	12625
173	2652	12593
174	2665	12566
175	2675	12524
176	2686	12493
177	2697	12458
178	2707	12420
179	2720	12392
180	2730	12357
181	2741	12320
182	2754	12295
183	2764	12261
184	2775	12228
185	2787	12197
186	2799	12173
187	2812	12145
188	2824	12120
189	2836	12093
190	2851	12078
191	2862	12047
192	2873	12014
193	2884	11985
194	2895	11953
195	2905	11920
196	2917	11892
197	2928	11861
198	2938	11829
199	2950	11803
200	2962	11775
201	2973	11744
202	2985	11722
203	2997	11696
204	3010	11673
205	3022	11649
206	3034	11623
207	3046	11600
208	3057	11572
209	3067	11539
210	3080	11517
211	3091	11492
212	3101	11459
213	3112	11430
214	3122	11402
215	3132	11369
216	3143	11341
217	3153	11312
218	3166	11292
219	3178	11269
220	3192	11253
221	3206	11235
222	3217	11209
223	3229	11189
224	3241	11166
225	3254	11146
226	3264	11117
227	3277	11096
228	3289	11074
229	3299	11047
230	3312	11025
231	3323	11003
232	3334	10975
233	3344	10947
234	3355	10924
235	3365	10895
236	3376	10871
237	3389	10852
238	3400	10826
239	3413	10809
240	3424	10785
241	3438	10768
242	3451	10751
243	3461	10724
244	3473	10704
245	3485	10683
246	3497	10662
247	3509	10641
248	3519	10616
249	3530	10591
250	3539	10563
251	3551	10540
252	3563	10522
253	3573	10495
254	3585	10474
255	3597	10456
256	3608	10431
257	3621	10414
258	3632	10392
259	3644	10372
260	3656	10352
261	3668	10332
262	3679	10310
263	3689	10285
264	3700	10264
265	3711	10240
266	3721	10217
267	3732	10194
268	3743	10171
269	3753	10148
270	3764	10126
271	3775	10104
272	3784	10078
273	3797	10062
274	3810	10044
275	3819	10019
276	3831	10001
277	3843	9981
278	3857	9968
279	3870	9951
280	3883	9935
281	3894	9916
282	3904	9893
283	3917	9877
284	3931	9863
285	3943	9846
286	3954	9824
287	3964	9801
288	3976	9782
289	3987	9761
290	3996	9737
291	4007	9717
292	4017	9693
293	4030	9677
294	4041	9658
295	4052	9638
296	4064	9620
297	4077	9605
298	4089	9587
299	4099	9565
300	4111	9547
301	4123	9530
302	4135	9512
303	4146	9493
304	4157	9474
305	4168	9454
306	4178	9433
307	4190	9414
308	4201	9394
309	4211	9374
310	4223	9356
311	4234	9337
312	4247	9322
313	4259	9306
314	4272	9291
315	4285	9276
316	4297	9260
317	4309	9242
318	4324	9231
319	4337	9216
320	4348	9198
321	4358	9177
322	4371	9163
323	4385	9149
324	4397	9133
325	4408	9113
326	4420	9097
327	4433	9082
328	4446	9068
329	4457	9050
330	4471	9037
331	4485	9024
332	4497	9007
333	4507	8987
334	4520	8974
335	4533	8958
336	4545	8942
337	4556	8923
338	4569	8909
339	4581	8892
340	4592	8874
341	4602	8854
342	4613	8837
343	4624	8819
344	4634	8798
345	4649	8787
346	4660	8770
347	4673	8755
348	4684	8737
349	4695	8720
350	4706	8703
351	4716	8682
352	4728	8666
353	4739	8649
354	4749	8629
355	4763	8616
356	4774	8600
357	4785	8582
358	4798	8568
359	4814	8558
360	4827	8545
361	4840	8530
362	4851	8513
363	4867	8505
364	4882	8494
365	4899	8487
366	4913	8474
367	4928	8464
368	4942	8452
369	4955	8437
370	4965	8418
371	4978	8405
372	4991	8390
373	5002	8372
374	5012	8353
375	5024	8339
376	5036	8323
377	5047	8305
378	5059	8290
379	5073	8278
380	5084	8260
381	5095	8244
382	5108	8229
383	5121	8215
384	5133	8200
385	5144	8183
386	5156	8168
387	5169	8154
388	5181	8138
389	5191	8119
390	5202	8102
391	5213	8086
392	5223	8068
393	5234	8051
394	5245	8034
395	5256	8016
396	5267	8000
397	5278	7984
398	5289	7967
399	5302	7953
400	5315	7939
401	5324	7920
402	5336	7905
403	5348	7890
404	5360	7874
405	5369	7855
406	5382	7841
407	5392	7824
408	5403	7807
409	5414	7791
410	5425	7775
411	5438	7761
412	5451	7748
413	5463	7733
414	5475	7717
415	5485	7700
416	5498	7687
417	5509	7671
418	5521	7656
419	5535	7644
420	5547	7629
421	5558	7612
422	5568	7595
423	5581	7582
424	5593	7567
425	5602	7548
426	5613	7532
427	5624	7516
428	5635	7501
429	5649	7489
430	5661	7473
431	5672	7457
432	5681	7439
433	5693	7425
434	5704	7408
435	5713	7391
436	5725	7375
437	5735	7359
438	5746	7343
439	5757	7327
440	5769	7313
441	5779	7296
442	5791	7281
443	5801	7265
444	5812	7248
445	5823	7233
446	5837	7221
447	5851	7209
448	5863	7195
449	5880	7186
450	5893	7173
451	5904	7158
452	5916	7144
453	5928	7129
454	5940	7115
455	5954	7103
456	5968	7092
457	5979	7075
458	5990	7061
459	6004	7048
460	6017	7036
461	6027	7019
462	6039	7004
463	6051	6990
464	6060	6973
465	6071	6957
466	6083	6942
467	6092	6925
468	6104	6911
469	6116	6897
470	6126	6880
471	6139	6867
472	6150	6852
473	6163	6839
474	6173	6823
475	6185	6809
476	6198	6795
477	6208	6779
478	6220	6765
479	6232	6752
480	6244	6737
481	6255	6722
482	6266	6708
483	6278	6693
484	6292	6681
485	6302	6665
486	6314	6651
487	6324	6635
488	6335	6620
489	6347	6607
490	6357	6590
491	6368	6576
492	6381	6562
493	6393	6549
494	6404	6533
495	6416	6520
496	6428	6506
497	6439	6491
498	6449	6475
499	6460	6460
500	6471	6446
501	6483	6431
502	6494	6416
503	6504	6401
504	6516	6387
505	6527	6372
506	6538	6358
507	6549	6342
508	6561	6329
509	6573	6315
510	6586	6303
511	6597	6287
512	6608	6273
513	6619	6259
514	6631	6245
515	6646	6234
516	6658	6220
517	6668	6205
518	6679	6190
519	6690	6176
520	6701	6161
521	6714	6148
522	6730	6138
523	6747	6129
524	6763	6118
525	6777	6107
526	6790	6094
527	6806	6084
528	6821	6073
529	6833	6060
530	6850	6050
531	6865	6039
532	6882	6030
533	6899	6021
534	6916	6011
535	6932	6000
536	6947	5989
537	6965	5981
538	6981	5971
539	6996	5960
540	7013	5950
541	7030	5940
542	7047	5930
543	7061	5919
544	7077	5909
545	7090	5895
546	7105	5884
547	7119	5872
548	7133	5860
549	7148	5848
550	7161	5835
551	7175	5823
552	7189	5811
553	7204	5800
554	7222	5791
555	7236	5778
556	7251	5767
557	7267	5756
558	7282	5745
559	7295	5732
560	7308	5719
561	7320	5705
562	7335	5693
563	7347	5680
564	7358	5665
565	7368	5649
566	7384	5639
567	7398	5626
568	7413	5615
569	7429	5604
570	7445	5593
571	7458	5581
572	7471	5567
573	7481	5552
574	7496	5540
575	7510	5528
576	7524	5516
577	7538	5504
578	7553	5492
579	7564	5477
580	7576	5463
581	7588	5449
582	7598	5434
583	7610	5421
584	7625	5409
585	7639	5397
586	7650	5382
587	7660	5367
588	7672	5353
589	7683	5339
590	7694	5325
591	7706	5311
592	7719	5298
593	7731	5284
594	7741	5269
595	7752	5255
596	7764	5241
597	7774	5226
598	7786	5212
599	7797	5198
600	7810	5185
601	7822	5171
602	7836	5159
603	7848	5145
604	7860	5132
605	7872	5118
606	7883	5104
607	7898	5092
608	7915	5081
609	7929	5069
610	7944	5058
