,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale,StreetType,Weekend
0,Abbotsford,2,house,1480000.0,S,Biggin,2016-12-03,2.5,3067,2.0,1.0,1.0,202.0,126.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,25.2,-0.23170731707317074,12,46.0,5,St,1
1,Abbotsford,2,house,1035000.0,S,Biggin,2016-02-04,2.5,3067,2.0,1.0,0.0,156.0,79.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,15.8,-0.3276595744680851,2,116.0,3,St,0
2,Abbotsford,3,house,1465000.0,SP,Biggin,2017-03-04,2.5,3067,3.0,2.0,0.0,134.0,150.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,18.75,0.056338028169014086,3,117.0,5,St,1
3,Abbotsford,3,house,850000.0,PI,Biggin,2017-03-04,2.5,3067,3.0,2.0,1.0,94.0,126.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,15.75,0.14545454545454545,3,47.0,5,other,1
4,Abbotsford,4,house,1600000.0,VB,Nelson,2016-06-04,2.5,3067,3.0,1.0,2.0,120.0,142.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,17.75,0.08396946564885496,6,2.0,5,St,1
5,Abbotsford,2,house,941000.0,S,Jellis,2016-05-07,2.5,3067,2.0,1.0,0.0,181.0,126.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,25.2,-0.1791530944625407,5,46.0,5,St,1
6,Abbotsford,3,house,1876000.0,S,Nelson,2016-05-07,2.5,3067,4.0,2.0,0.0,245.0,210.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,23.333333333333332,-0.07692307692307693,5,106.0,5,St,1
7,Abbotsford,2,house,1636000.0,S,Nelson,2016-10-08,2.5,3067,2.0,1.0,2.0,256.0,107.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,21.4,-0.41046831955922863,10,126.0,5,St,1
8,Abbotsford,1,unit,300000.0,S,Biggin,2016-10-08,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,42.0,1.0,10,46.0,5,St,1
9,Abbotsford,2,house,1097000.0,S,Biggin,2016-10-08,2.5,3067,3.0,1.0,2.0,220.0,75.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,12.5,-0.4915254237288136,10,116.0,5,St,1
10,Abbotsford,2,unit,700000.0,VB,Jellis,2016-11-12,2.5,3067,2.0,2.0,1.0,0.0,126.0,Yarra,-37.811,145.0067,Northern Metropolitan,4019.0,21.0,1.0,11,46.0,5,St,1
11,Abbotsford,3,house,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3.0,2.0,2.0,214.0,190.0,Yarra,-37.8085,144.9964,Northern Metropolitan,4019.0,23.75,-0.0594059405940594,11,11.0,5,St,1
12,Abbotsford,2,unit,750000.0,S,Biggin,2016-11-12,2.5,3067,2.0,2.0,1.0,0.0,94.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,15.666666666666666,1.0,11,7.0,5,St,1
13,Abbotsford,2,house,1172500.0,S,Biggin,2016-08-13,2.5,3067,2.0,1.0,1.0,195.0,126.0,Yarra,-37.8084,144.9973,Northern Metropolitan,4019.0,25.2,-0.21495327102803738,8,46.0,5,St,1
14,Abbotsford,1,unit,441000.0,SP,Greg,2016-05-14,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,42.0,1.0,5,46.0,5,St,1
15,Abbotsford,2,house,1310000.0,S,Jellis,2016-10-15,2.5,3067,2.0,1.0,2.0,238.0,97.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0,19.4,-0.4208955223880597,10,126.0,5,St,1
16,Abbotsford,3,house,1200000.0,S,Jellis,2016-07-16,2.5,3067,3.0,2.0,1.0,113.0,110.0,Yarra,-37.8056,144.993,Northern Metropolitan,4019.0,13.75,-0.013452914798206279,7,136.0,5,St,1
17,Abbotsford,3,house,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2.0,1.0,1.0,138.0,105.0,Yarra,-37.8021,144.9965,Northern Metropolitan,4019.0,17.5,-0.13580246913580246,7,126.0,5,St,1
18,Abbotsford,3,house,955000.0,S,Collins,2016-09-17,2.5,3067,3.0,1.0,0.0,183.0,126.0,Yarra,-37.8022,144.9975,Northern Metropolitan,4019.0,18.0,-0.18446601941747573,9,46.0,5,St,1
19,Abbotsford,2,house,890000.0,S,Biggin,2016-09-17,2.5,3067,2.0,1.0,1.0,150.0,73.0,Yarra,-37.8011,145.0004,Northern Metropolitan,4019.0,14.6,-0.3452914798206278,9,31.0,5,St,1
20,Abbotsford,4,house,1330000.0,PI,Kay,2017-03-18,2.5,3067,4.0,2.0,2.0,780.0,135.0,Yarra,-37.8073,144.9952,Northern Metropolitan,4019.0,13.5,-0.7049180327868853,3,117.0,5,St,1
21,Abbotsford,3,townhouse,900000.0,S,other,2017-03-18,2.5,3067,3.0,2.0,2.0,0.0,126.0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019.0,15.75,1.0,3,7.0,5,St,1
22,Abbotsford,3,unit,1090000.0,S,Jellis,2017-03-18,2.5,3067,3.0,2.0,2.0,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,3.375,-0.9874913134120917,3,47.0,5,St,1
23,Abbotsford,2,unit,500000.0,S,Collins,2016-06-18,2.5,3067,2.0,1.0,1.0,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019.0,12.0,1.0,6,46.0,5,St,1
24,Abbotsford,2,house,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2.0,2.0,1.0,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019.0,22.5,0.04247104247104247,6,3.0,5,St,1
25,Abbotsford,2,house,1315000.0,S,Marshall,2016-11-19,2.5,3067,2.0,1.0,0.0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019.0,17.0,-0.2672413793103448,11,116.0,5,St,1
26,Abbotsford,1,unit,426000.0,SP,Greg,2016-08-22,2.5,3067,1.0,1.0,1.0,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019.0,42.0,1.0,8,46.0,0,St,0
27,Abbotsford,3,house,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3.0,3.0,1.0,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,19.333333333333332,0.023529411764705882,8,4.0,0,St,0
28,Abbotsford,1,unit,457000.0,S,Jellis,2016-08-22,2.5,3067,1.0,1.0,1.0,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019.0,16.666666666666668,1.0,8,46.0,0,St,0
29,Abbotsford,2,house,1135000.0,S,Nelson,2016-08-22,2.5,3067,2.0,2.0,2.0,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019.0,21.333333333333332,0.13274336283185842,8,96.0,0,St,0
